57 - ckmb52fldxkseven3fkjgcbzmnr7                       - ckmb52fldxkse7ven3fkjgcbzmnr7                     
23 - nlkndffq2three                                     - nlkndffq2th3ee                                    
66 - 6ninemfour8rbxvj6                                  - 6ni9nemfo4ur8rbxvj6                               
75 - 7clxtxrt1lqg5                                      - 7clxtxrt1lqg5                                     
19 - onefivegjnfzkvg9                                   - o1efi5vegjnfzkvg9                                 
54 - fplrvmqjdfxvjdfivesix6rpnkfour                     - fplrvmqjdfxvjdfi5vesi6x6rpnkfo4ur                 
52 - 5fivetwoxdgchbjjrckntlgblsxlcznfd                  - 5fi5vet2oxdgchbjjrckntlgblsxlcznfd                
84 - eight7fourfour                                     - ei8ght7fo4urfo4ur                                 
31 - 3kmtjlfbgssixmspkfzrgxtctksix4onetwones            - 3kmtjlfbgssi6xmspkfzrgxtctksi6x4o1et2o1es         
85 - 8five15sixthreeljsfive                             - 8fi5ve15si6xth3eeljsfi5ve                         
99 - 9lnn                                               - 9lnn                                              
98 - nine7pzrxnnkthreesdjxphsrf4hc8                     - ni9ne7pzrxnnkth3eesdjxphsrf4hc8                   
34 - three6115nqhllcmpmzcfour                           - th3ee6115nqhllcmpmzcfo4ur                         
85 - vpqjnvmltx8fivefive                                - vpqjnvmltx8fi5vefi5ve                             
59 - vrlqlj5fivesixninebqhgcpgmgkmflvn                  - vrlqlj5fi5vesi6xni9nebqhgcpgmgkmflvn              
77 - 76eighteight7                                      - 76ei8ghtei8ght7                                   
84 - 8qkmnsjxbfhcpsvn4                                  - 8qkmnsjxbfhcpsvn4                                 
15 - oneninexqdseven4threefive                          - o1eni9nexqdse7ven4th3eefi5ve                      
17 - rpcvmnng162fivesixseven                            - rpcvmnng162fi5vesi6xse7ven                        
33 - 31628eightthree                                    - 31628ei8ghtth3ee                                  
87 - 83d6fsfqdghztwo7bmvrlh                             - 83d6fsfqdghzt2o7bmvrlh                            
25 - gknfcdqlrs25                                       - gknfcdqlrs25                                      
92 - 9gkkth2ps                                          - 9gkkth2ps                                         
89 - bxnvsjxqleight9ninenine                            - bxnvsjxqlei8ght9ni9neni9ne                        
74 - rsmcrqlnhsmjhspseven96vsckknrggbjd4tgtgbkxgvt      - rsmcrqlnhsmjhspse7ven96vsckknrggbjd4tgtgbkxgvt    
88 - 8seveneightcxrh                                    - 8se7venei8ghtcxrh                                 
41 - tkmfour8fivevl9one                                 - tkmfo4ur8fi5vevl9o1e                              
88 - 8mgrxk                                             - 8mgrxk                                            
46 - fourbgckqkeight6f                                  - fo4urbgckqkei8ght6f                               
32 - threetwo3eight652pp                                - th3eet2o3ei8ght652pp                              
98 - ninefivetwojbhglxfxzfctwo8                         - ni9nefi5vet2ojbhglxfxzfct2o8                      
31 - jmjtcvpsxzdbkbqthree1qmgznpbzlthree4six1           - jmjtcvpsxzdbkbqth3ee1qmgznpbzlth3ee4si6x1         
45 - foursix5                                           - fo4ursi6x5                                        
66 - 6nbdzdlmqpdlgpcclc                                 - 6nbdzdlmqpdlgpcclc                                
24 - 24                                                 - 24                                                
77 - pseven3threeeightseven                             - pse7ven3th3eeei8ghtse7ven                         
77 - 7nine7gjdksbtqrrdsr                                - 7ni9ne7gjdksbtqrrdsr                              
56 - 5ppflb48tkcffone8six                               - 5ppflb48tkcffo1e8si6x                             
52 - five2two7hstbbqzrninegbtwo2                        - fi5ve2t2o7hstbbqzrni9negbt2o2                     
84 - eightfblzpmhs4                                     - ei8ghtfblzpmhs4                                   
88 - fbbdeightzzsdffh8jbjzxkclj                         - fbbdei8ghtzzsdffh8jbjzxkclj                       
31 - 3nine6five1                                        - 3ni9ne6fi5ve1                                     
